@timestamp,addr_new,addr_old,conts_name,value,name,gu_name,location.lat,location.lon
,양화로 59,마포구 서교동 393-5,104 합정역 1번출구 앞,104,대여소번호,마포구,37.550629,126.914986
,양화로 55,마포구 서교동 394-112,105 합정역 5번출구 앞,105,대여소번호,마포구,37.550007,126.914825
,양화로 32,마포구 합정동 381-67,106 합정역 7번출구 앞,106,대여소번호,마포구,37.548645,126.912827
,월드컵북로 35,마포구 서교동 449-14,107 신한은행 서교동금융센터점 앞,107,대여소번호,마포구,37.55751,126.918503
,양화로 100,마포구 서교동 372-1,108 서교동 사거리,108,대여소번호,마포구,37.552746,126.918617
,어울마당로 26,마포구 당인동 12-31,109 제일빌딩 앞,109,대여소번호,마포구,37.547691,126.919983
,독막로 91,마포구 상수동 309-5,111 상수역 2번출구 앞,111,대여소번호,마포구,37.547871,126.923531
,와우산로 52,마포구 상수동 92-26,112 극동방송국 앞,112,대여소번호,마포구,37.549202,126.923203
,양화로 171,마포구 동교동 156-8,113 삼성서비스센터 앞,113,대여소번호,마포구,37.557499,126.923805
,양화로18길 3,마포구 동교동 166-13,114 홍대입구역 8번출구 앞,114,대여소번호,마포구,37.55706,126.924423
,독막로 165,마포구 창전동 245-1,118 광흥창역 2번출구 앞,118,대여소번호,마포구,37.547733,126.931763
,서강로 30,마포구 창전동 165-5,119 서강나루 공원,119,대여소번호,마포구,37.545284,126.931053
,토정로 213-7,마포구 신수동 371-25,120 신수동 사거리,120,대여소번호,마포구,37.545242,126.934113
,창전로2길 45,마포구 신수동 100-2,121 마포소방서 앞,121,대여소번호,마포구,37.549767,126.933174
,독막로 229,마포구 신수동 46-14,122 신성기사식당 앞,122,대여소번호,마포구,37.547249,126.939293
,서강로16길 67,마포구 신수동 84-7,124 서강대 정문 옆,124,대여소번호,마포구,37.55114,126.936989
,백범로 35,마포구 신수동 1-31,125 서강대 남문 옆,125,대여소번호,마포구,37.549484,126.93895
,대흥로 122,마포구 대흥동 43-32,126 서강대 후문 옆,126,대여소번호,마포구,37.550411,126.943848
,백범로 14,마포구 노고산동 107-95,127 현대벤처빌 앞,127,대여소번호,마포구,37.55352,126.936951
,신촌로 106,마포구 노고산동 31-123,129 신촌역(2호선) 6번출구 옆,129,대여소번호,마포구,37.555054,126.937569
,신촌로 94,마포구 노고산동 57-63,130 신촌역(2호선) 7번출구 앞,130,대여소번호,마포구,37.554859,126.936157
,신촌로24안길 18,마포구 노고산동 4-9,136 대흥동 주민센터,136,대여소번호,마포구,37.555691,126.942451
,구룡길 19,마포구 상암동 895-2,400 상암한화오벨리스크 1차 앞,400,대여소번호,마포구,37.587524,126.883003
,월드컵북로 502-36,마포구 상암동 594,401 상암월드컵파크 10단지 앞,401,대여소번호,마포구,37.586189,126.881615
,가양대로 143,마포구 상암동 670-1,402 상암월드컵파크 9단지 앞,402,대여소번호,마포구,37.582855,126.879822
,가양대로 203,마포구 상암동 853-2,403 부엉이공원 앞,403,대여소번호,마포구,37.58559,126.884727
,월드컵북로60길 13,마포구 상암동 1698,405 DMC빌 앞,405,대여소번호,마포구,37.582657,126.885788
,상암산로1길 92,마포구 상암동 1681,406 상암월드컵파크 7단지 앞,406,대여소번호,마포구,37.581314,126.880585
,상암산로1길 71,마포구 상암동 1686,407 마포구 육아종합지원센터,407,대여소번호,마포구,37.580631,126.883675
,월드컵북로 424,마포구 상암동 1715-3,408 LG CNS앞,408,대여소번호,마포구,37.580811,126.88665
,null,마포구 상암동 1715-6,409 누리꿈스퀘어 옆,409,대여소번호,마포구,37.579399,126.88916
,상암산로1길 24,마포구 상암동 1656,410 상암중학교 옆,410,대여소번호,마포구,37.577496,126.887772
,상암산로 66,마포구 상암동 1715-7,411 DMC홍보관,411,대여소번호,마포구,37.577995,126.891472
,매봉산로 37,마포구 상암동 1649,412 DMC산학협력연구센터 앞,412,대여소번호,마포구,37.575802,126.890739
,매봉산로 8,마포구 상암동 48,413 상암월드컵파크 3단지 후문,413,대여소번호,마포구,37.571476,126.889687
,매봉산로2안길 12-6,마포구 상암동 8-3,414 상암동주민센터 옆,414,대여소번호,마포구,37.57822,126.89447
,성암로 197,마포구 상암동 1253,415 DMC역 9번출구 앞,415,대여소번호,마포구,37.577469,126.897362
,월드컵북로47길 8,마포구 상암동 34-5,416 상암월드컵파크1단지 교차로,416,대여소번호,마포구,37.575665,126.894447
,성암로 165,마포구 상암동 1185-1,417 DMC역 2번출구 옆,417,대여소번호,마포구,37.575069,126.899918
,null,마포구 성산동 476-1,418 월드컵경기장역 3번출구 옆,418,대여소번호,마포구,37.570721,126.898979
,null,마포구 성산동 438-11,419 홈플러스 앞,419,대여소번호,마포구,37.56842,126.899429
,월드컵로 251,마포구 성산동 534-12,420 서울시 공공자전거 운영센터 옆,420,대여소번호,마포구,37.566246,126.896179
,월드컵로 212,마포구 성산동 372-2,421 마포구청 앞,421,대여소번호,마포구,37.565903,126.901184
,신촌로 270,마포구 아현동 329-15,142 아현역 4번출구 앞,142,대여소번호,마포구,37.557201,126.955666
,마포대로 109,마포구 공덕동 257-88,143 공덕역 2번출구,143,대여소번호,마포구,37.544579,126.950218
,백범로 192,마포구 공덕동 438-10,144 공덕역 8번출구,144,대여소번호,마포구,37.543579,126.951324
,만리재로 3,마포구 공덕동 255-10,145 공덕역 5번출구,145,대여소번호,마포구,37.54425,126.951637
,마포대로 33,마포구 도화동 555-2,146 마포역 2번출구 뒤,146,대여소번호,마포구,37.539936,126.945824
,마포대로 34,마포구 도화동 292-29,147 마포역 4번출구 뒤,147,대여소번호,마포구,37.539272,126.945915
,토정로31길 31,마포구 용강동 504,148 용강동 주민센터 앞,148,대여소번호,마포구,37.542347,126.943024
,서강로16길 4,마포구 노고산동 112-11,150 서강대역 2번출구 앞,150,대여소번호,마포구,37.552956,126.934341
,포은로6길 10,마포구 망원동 403-10,151 망원1동주민센터,151,대여소번호,마포구,37.555687,126.905548
,월드컵로25길 173,마포구 망원동 453-3,152 마포구민체육센터 앞,152,대여소번호,마포구,37.55661,126.898018
,월드컵북로 132,마포구 성산동 51-12,153 성산2교 사거리,153,대여소번호,마포구,37.564697,126.912613
,월드컵로 147,마포구 망원동 477-3,154 마포구청역 ,154,대여소번호,마포구,37.560909,126.905495
,성암로 17,마포구 성산동 123-5,155 가좌역1.2번출구,155,대여소번호,마포구,37.56855,126.914513
,마포대로 180,마포구 공덕동 105-10,156 서울서부지방법원 앞,156,대여소번호,마포구,37.549904,126.955147
,마포대로 216,마포구 아현동 609-3,157 애오개역 4번출구 앞,157,대여소번호,마포구,37.553001,126.956688
,동교로 2,마포구 망원동 218-7,181 망원초록길 입구,181,대여소번호,마포구,37.551342,126.902672
,동교로3길 6,마포구 망원동 218-6,182 망원2빗물펌프장 앞,182,대여소번호,마포구,37.551567,126.902847
,연남로 69,마포구 연남동 365-26,183 하늘채코오롱아파트 건너편,183,대여소번호,마포구,37.565166,126.919395
,월드컵로 120,마포구 성산동 253-25,184 SK망원동주유소 건너편,184,대여소번호,마포구,37.558949,126.907753
,신수로 11,마포구 현석동 138-4,185 마포 신수공원앞,185,대여소번호,마포구,37.542545,126.934296
,월드컵로 243-60,마포구 성산동 548-3,186 월드컵공원,186,대여소번호,마포구,37.563965,126.898209
,null,마포구 성산동 529-61,199 서울 월드컵 경기장,199,대여소번호,마포구,37.566845,126.896446
,홍제천로 6,서대문구 연희동 446-15,110 사천교,110,대여소번호,서대문구,37.568199,126.917847
,신촌로 1,서대문구 창천동 515-7,115 사루비아 빌딩 앞,115,대여소번호,서대문구,37.558933,126.927116
,동교로 290,서대문구 연희동 218-17,116 일진아이윌아파트 옆,116,대여소번호,서대문구,37.564541,126.927071
,통일로 483,서대문구 홍은동 225-5,117 홍은사거리,117,대여소번호,서대문구,37.591198,126.941093
,세검정로3길 69-6,서대문구 홍제동 277-33,123 문화촌 공원,123,대여소번호,서대문구,37.59433,126.947388
,신촌로 91,서대문구 창천동 30-35,128 신촌역(2호선) 1번출구 옆,128,대여소번호,서대문구,37.555496,126.93634
,증가로 264,서대문구 북가좌동 342-14,131 증산2교,131,대여소번호,서대문구,37.584171,126.911102
